,Watches,MRP,Offer_Price,Discount,URl
10,mizco DZ09 Black 4G Smartwatch,"₹1,199",₹869,27% off,https://flipkart.com/mizco-dz09-black-4g-smartwatch/p/itmfcffefe9379a9?pid=SMWFHYCFC9NWAHH8&lid=LSTSMWFHYCFC9NWAHH8I9XVZW&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWFHYCFC9NWAHH8.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
11,Noise ColorFit Qube SpO2 Beige Gold Smartwatch,"₹4,999","₹1,999",60% off,https://flipkart.com/noise-colorfit-qube-spo2-beige-gold-smartwatch/p/itm9927bceb148ce?pid=SMWG6RAWQJFED4H9&lid=LSTSMWG6RAWQJFED4H9ABOLRE&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6RAWQJFED4H9.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
12,Fire-Boltt Ninja Call 2 (1.7 inch) Bluetooth Calling with 27 Sports Modes Smartwatch,"₹7,999","₹2,999",62% off,https://flipkart.com/fire-boltt-ninja-call-2-1-7-inch-bluetooth-calling-27-sports-modes-smartwatch/p/itm22d13cc803610?pid=SMWGBYUC8ZRGBJFV&lid=LSTSMWGBYUC8ZRGBJFV5SW2TP&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGBYUC8ZRGBJFV.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
13,Noise ColorFit Pro 2 Smartwatch,"₹4,999","₹2,799",44% off,https://flipkart.com/noise-colorfit-pro-2-smartwatch/p/itmaa88cacb57263?pid=SMWFH4MV2GXKDHCN&lid=LSTSMWFH4MV2GXKDHCNRUOKT1&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWFH4MV2GXKDHCN.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
14,DIZO Watch 2 (by realme TechLife),"₹3,999","₹2,699",32% off,https://flipkart.com/dizo-watch-2-by-realme-techlife/p/itm59913ba399d56?pid=SMWG6EFSAJUFHACD&lid=LSTSMWG6EFSAJUFHACD1N2HJT&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6EFSAJUFHACD.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
15,DIZO Watch 2 (by realme TechLife),"₹3,999","₹2,699",32% off,https://flipkart.com/dizo-watch-2-by-realme-techlife/p/itm59913ba399d56?pid=SMWG8Z7CBQXZT7BK&lid=LSTSMWG8Z7CBQXZT7BKNOKNNO&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG8Z7CBQXZT7BK.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
16,DIZO Watch 2 (by realme TechLife),"₹3,999","₹2,699",32% off,https://flipkart.com/dizo-watch-2-by-realme-techlife/p/itm59913ba399d56?pid=SMWG6EFSKSJGQDSK&lid=LSTSMWG6EFSKSJGQDSKVR6J0Y&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6EFSKSJGQDSK.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
17,DIZO Watch 2 (by realme TechLife),"₹3,999","₹2,999",25% off,https://flipkart.com/dizo-watch-2-by-realme-techlife/p/itm59913ba399d56?pid=SMWG6EFSBH67Z3EJ&lid=LSTSMWG6EFSBH67Z3EJKYCN9Y&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6EFSBH67Z3EJ.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
18,DIZO Watch 2 (by realme TechLife),"₹3,999","₹2,699",32% off,https://flipkart.com/dizo-watch-2-by-realme-techlife/p/itm59913ba399d56?pid=SMWG6EFSPRPYHRP3&lid=LSTSMWG6EFSPRPYHRP30UDTXW&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6EFSPRPYHRP3.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
19,DARKFIT ID-116 Plus Bluetooth Smart Fitness Band Watch with Heart Rate Activity Tracker Smartwatch,"₹2,999",₹495,83% off,https://flipkart.com/darkfit-id-116-plus-bluetooth-smart-fitness-band-watch-heart-rate-activity-tracker-smartwatch/p/itm12babfa6aaa36?pid=SMWGBE54Q9GBRAHW&lid=LSTSMWGBE54Q9GBRAHW3GXC1O&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGBE54Q9GBRAHW.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
20,Earboss ID116 LED screen for Men/Women/Kids fitness waterproof Smartwatch,"₹2,999",₹499,83% off,https://flipkart.com/earboss-id116-led-screen-men-women-kids-fitness-waterproof-smartwatch/p/itm77c231f58c75f?pid=SMWGBDA5VZQYA9GR&lid=LSTSMWGBDA5VZQYA9GR2LXQPM&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGBDA5VZQYA9GR.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
21,GIONEE Stylfit GSW10 Smartwatch,"₹4,999","₹1,899",62% off,https://flipkart.com/gionee-stylfit-gsw10-smartwatch/p/itm17eb53e96ff36?pid=SMWG73M3GDGGMCWT&lid=LSTSMWG73M3GDGGMCWTRTNDML&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG73M3GDGGMCWT.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
22,GIONEE Stylfit GSW10 Smartwatch,"₹4,999","₹1,899",62% off,https://flipkart.com/gionee-stylfit-gsw10-smartwatch/p/itm17eb53e96ff36?pid=SMWG73M3WFFZYBGH&lid=LSTSMWG73M3WFFZYBGHFNBQW8&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG73M3WFFZYBGH.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
23,GIONEE Stylfit GSW10 Smartwatch,"₹4,999","₹1,899",62% off,https://flipkart.com/gionee-stylfit-gsw10-smartwatch/p/itm17eb53e96ff36?pid=SMWG73M3HRRJKSSG&lid=LSTSMWG73M3HRRJKSSGQ7MNMH&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG73M3HRRJKSSG.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
